weight
9.791698
11.698426
5.988439
14.200483
17.1995
30.56848
10.352059
41.208306
31.434719
32.700659
11.974843
14.989869
50.304485
22.370633
50.116002
23.194739
11.827824
33.664047
10.148582
42.845698
16.680948
41.154044
20.915376
47.615408
44.057144
14.410642
26.392809
28.926925
19.203344
29.058862
14.831229
27.329951
20.861557
12.090609
25.719396
22.941661
43.269264
24.567219
11.429526
48.464511
24.087777
6.641902
11.858043
29.322764
26.292346
32.553864
40.095147
12.18151
7.7963
7.861745
25.994989
7.893405
18.296132
13.342466
22.398066
12.249446
12.749816
45.315652
21.959184
22.997926
